Class,Precision,Recall,F1-Score,Support
Apple___Cedar_apple_rust,1.0,1.0,1.0,55
Squash___Powdery_mildew,1.0,1.0,1.0,367
Grape___healthy,1.0,1.0,1.0,85
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,1102
Corn_(maize)___healthy,1.0,1.0,1.0,232
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,215
Raspberry___healthy,1.0,1.0,1.0,74
Strawberry___healthy,1.0,1.0,1.0,91
Blueberry___healthy,0.9966777408637874,1.0,0.9983361064891847,300
Soybean___healthy,0.9990157480314961,0.9970530451866405,0.9980334316617502,1018
Strawberry___Leaf_scorch,0.9955156950672646,1.0,0.9977528089887641,222
Cherry_(including_sour)___Powdery_mildew,1.0,0.9952380952380953,0.9976133651551313,210
Cherry_(including_sour)___healthy,1.0,0.9941520467836257,0.9970674486803519,171
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.99812734082397,0.9953314659197012,0.9967274427302477,1071
"Pepper,_bell___healthy",0.9966216216216216,0.9966216216216216,0.9966216216216216,296
Corn_(maize)___Common_rust_,0.99581589958159,0.99581589958159,0.99581589958159,239
Potato___Early_blight,0.995,0.995,0.995,200
"Pepper,_bell___Bacterial_spot",0.9900497512437811,1.0,0.995,199
Peach___Bacterial_spot,0.9956427015250545,0.9934782608695653,0.9945593035908598,460
Tomato___Bacterial_spot,0.9952830188679245,0.9929411764705882,0.9941107184923439,425
Apple___healthy,0.9969418960244648,0.9908814589665653,0.9939024390243902,329
Grape___Esca_(Black_Measles),0.9963636363636363,0.9891696750902527,0.9927536231884057,277
Apple___Black_rot,0.9919354838709677,0.9919354838709677,0.9919354838709677,124
Grape___Black_rot,0.9873949579831933,0.9957627118644068,0.9915611814345991,236
Tomato___healthy,0.987460815047022,0.9905660377358491,0.989010989010989,318
Tomato___Tomato_mosaic_virus,0.974025974025974,1.0,0.9868421052631579,75
Potato___Late_blight,0.985,0.985,0.985,200
Potato___healthy,1.0,0.9666666666666667,0.983050847457627,30
Apple___Apple_scab,0.9618320610687023,1.0,0.9805447470817121,126
Tomato___Leaf_Mold,0.9738219895287958,0.9789473684210527,0.9763779527559056,190
Tomato___Late_blight,0.9761904761904762,0.9659685863874345,0.9710526315789474,382
Tomato___Septoria_leaf_spot,0.9686609686609686,0.96045197740113,0.9645390070921985,354
Peach___healthy,0.9459459459459459,0.9722222222222222,0.9589041095890412,72
Tomato___Spider_mites Two-spotted_spider_mite,0.9580838323353293,0.9552238805970149,0.9566517189835575,335
Corn_(maize)___Northern_Leaf_Blight,0.9587628865979382,0.9441624365482234,0.9514066496163682,197
Tomato___Early_blight,0.9540816326530612,0.935,0.9444444444444445,200
Tomato___Target_Spot,0.9206896551724137,0.9501779359430605,0.935201401050788,281
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8962264150943396,0.9223300970873787,0.9090909090909091,103
