,precision,recall,f1-score,support
Apple___Apple_scab,0.9921259842519685,1.0,0.9960474308300395,630.0
Apple___Black_rot,0.998389694041868,0.998389694041868,0.998389694041868,621.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,275.0
Apple___healthy,0.9993913572732805,0.998176291793313,0.9987834549878345,1645.0
Blueberry___healthy,0.9993346640053227,1.0,0.9996672212978369,1502.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9990494296577946,0.9995244888254874,1052.0
Cherry_(including_sour)___healthy,1.0,0.9988290398126464,0.9994141769185706,854.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9805825242718447,0.9844054580896686,0.9824902723735408,513.0
Corn_(maize)___Common_rust_,0.9991610738255033,0.9991610738255033,0.9991610738255033,1192.0
Corn_(maize)___Northern_Leaf_Blight,0.9918616480162767,0.9898477157360406,0.9908536585365854,985.0
Corn_(maize)___healthy,1.0,1.0,1.0,1162.0
Grape___Black_rot,0.9974619289340102,0.9991525423728813,0.9983065198983911,1180.0
Grape___Esca_(Black_Measles),0.999275887038378,0.9978308026030369,0.9985528219971056,1383.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,1076.0
Grape___healthy,1.0,1.0,1.0,423.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,5507.0
Peach___Bacterial_spot,0.9991289198606271,0.998693948628646,0.9989113868930982,2297.0
Peach___healthy,0.988950276243094,0.9944444444444445,0.9916897506925207,360.0
"Pepper,_bell___Bacterial_spot",0.997997997997998,1.0,0.998997995991984,997.0
"Pepper,_bell___healthy",0.9993234100135318,0.9993234100135318,0.9993234100135318,1478.0
Potato___Early_blight,0.999,0.999,0.999,1000.0
Potato___Late_blight,0.997,0.997,0.997,1000.0
Potato___healthy,1.0,0.993421052631579,0.9966996699669967,152.0
Raspberry___healthy,1.0,1.0,1.0,371.0
Soybean___healthy,0.9998034591194969,0.9994106090373281,0.9996069954804481,5090.0
Squash___Powdery_mildew,1.0,1.0,1.0,1835.0
Strawberry___Leaf_scorch,0.9990990990990991,1.0,0.9995493465525012,1109.0
Strawberry___healthy,1.0,1.0,1.0,456.0
Tomato___Bacterial_spot,0.9990592662276576,0.998589562764457,0.9988243592758053,2127.0
Tomato___Early_blight,0.9909638554216867,0.987,0.9889779559118237,1000.0
Tomato___Late_blight,0.9952755905511811,0.9931901519119958,0.994231777661248,1909.0
Tomato___Leaf_Mold,0.9947534102833159,0.9957983193277311,0.9952755905511811,952.0
Tomato___Septoria_leaf_spot,0.9937782805429864,0.9920948616600791,0.992935857586889,1771.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9916467780429594,0.9916467780429594,0.9916467780429594,1676.0
Tomato___Target_Spot,0.9844192634560907,0.99002849002849,0.9872159090909091,1404.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9996264475158759,0.999066641777114,0.9993464662496498,5357.0
Tomato___Tomato_mosaic_virus,0.9946666666666667,1.0,0.9973262032085561,373.0
Tomato___healthy,0.9974874371859297,0.9981143934632307,0.9978008168394596,1591.0
accuracy,0.9976797716600682,0.9976797716600682,0.9976797716600682,0.9976797716600682
macro avg,0.9968306557864907,0.9971490713595881,0.9969881864090085,54305.0
weighted avg,0.9976826820261365,0.9976797716600682,0.9976804233032246,54305.0
